date,annee,mois,mois_nom,trimestre,annee_mois
2018-01-01,2018,1,Janvier,T1,2018-01
2018-02-01,2018,2,Février,T1,2018-02
2018-03-01,2018,3,Mars,T1,2018-03
2018-04-01,2018,4,Avril,T2,2018-04
2018-05-01,2018,5,Mai,T2,2018-05
2018-06-01,2018,6,Juin,T2,2018-06
2018-07-01,2018,7,Juillet,T3,2018-07
2018-08-01,2018,8,Août,T3,2018-08
2018-09-01,2018,9,Septembre,T3,2018-09
2018-10-01,2018,10,Octobre,T4,2018-10
2018-11-01,2018,11,Novembre,T4,2018-11
2018-12-01,2018,12,Décembre,T4,2018-12
2019-01-01,2019,1,Janvier,T1,2019-01
2019-02-01,2019,2,Février,T1,2019-02
2019-03-01,2019,3,Mars,T1,2019-03
2019-04-01,2019,4,Avril,T2,2019-04
2019-05-01,2019,5,Mai,T2,2019-05
2019-06-01,2019,6,Juin,T2,2019-06
2019-07-01,2019,7,Juillet,T3,2019-07
2019-08-01,2019,8,Août,T3,2019-08
2019-09-01,2019,9,Septembre,T3,2019-09
2019-10-01,2019,10,Octobre,T4,2019-10
2019-11-01,2019,11,Novembre,T4,2019-11
2019-12-01,2019,12,Décembre,T4,2019-12
2020-01-01,2020,1,Janvier,T1,2020-01
2020-02-01,2020,2,Février,T1,2020-02
2020-03-01,2020,3,Mars,T1,2020-03
2020-04-01,2020,4,Avril,T2,2020-04
2020-05-01,2020,5,Mai,T2,2020-05
2020-06-01,2020,6,Juin,T2,2020-06
2020-07-01,2020,7,Juillet,T3,2020-07
2020-08-01,2020,8,Août,T3,2020-08
2020-09-01,2020,9,Septembre,T3,2020-09
2020-10-01,2020,10,Octobre,T4,2020-10
2020-11-01,2020,11,Novembre,T4,2020-11
2020-12-01,2020,12,Décembre,T4,2020-12
2021-01-01,2021,1,Janvier,T1,2021-01
2021-02-01,2021,2,Février,T1,2021-02
2021-03-01,2021,3,Mars,T1,2021-03
2021-04-01,2021,4,Avril,T2,2021-04
2021-05-01,2021,5,Mai,T2,2021-05
2021-06-01,2021,6,Juin,T2,2021-06
2021-07-01,2021,7,Juillet,T3,2021-07
2021-08-01,2021,8,Août,T3,2021-08
2021-09-01,2021,9,Septembre,T3,2021-09
2021-10-01,2021,10,Octobre,T4,2021-10
2021-11-01,2021,11,Novembre,T4,2021-11
2021-12-01,2021,12,Décembre,T4,2021-12
2022-01-01,2022,1,Janvier,T1,2022-01
2022-02-01,2022,2,Février,T1,2022-02
2022-03-01,2022,3,Mars,T1,2022-03
2022-04-01,2022,4,Avril,T2,2022-04
2022-05-01,2022,5,Mai,T2,2022-05
2022-06-01,2022,6,Juin,T2,2022-06
2022-07-01,2022,7,Juillet,T3,2022-07
2022-08-01,2022,8,Août,T3,2022-08
2022-09-01,2022,9,Septembre,T3,2022-09
2022-10-01,2022,10,Octobre,T4,2022-10
2022-11-01,2022,11,Novembre,T4,2022-11
2022-12-01,2022,12,Décembre,T4,2022-12
2023-01-01,2023,1,Janvier,T1,2023-01
2023-02-01,2023,2,Février,T1,2023-02
2023-03-01,2023,3,Mars,T1,2023-03
2023-04-01,2023,4,Avril,T2,2023-04
2023-05-01,2023,5,Mai,T2,2023-05
2023-06-01,2023,6,Juin,T2,2023-06
2023-07-01,2023,7,Juillet,T3,2023-07
2023-08-01,2023,8,Août,T3,2023-08
2023-09-01,2023,9,Septembre,T3,2023-09
2023-10-01,2023,10,Octobre,T4,2023-10
2023-11-01,2023,11,Novembre,T4,2023-11
2023-12-01,2023,12,Décembre,T4,2023-12
2024-01-01,2024,1,Janvier,T1,2024-01
2024-02-01,2024,2,Février,T1,2024-02
2024-03-01,2024,3,Mars,T1,2024-03
2024-04-01,2024,4,Avril,T2,2024-04
2024-05-01,2024,5,Mai,T2,2024-05
2024-06-01,2024,6,Juin,T2,2024-06
2024-07-01,2024,7,Juillet,T3,2024-07
2024-08-01,2024,8,Août,T3,2024-08
2024-09-01,2024,9,Septembre,T3,2024-09
2024-10-01,2024,10,Octobre,T4,2024-10
2024-11-01,2024,11,Novembre,T4,2024-11
2024-12-01,2024,12,Décembre,T4,2024-12
2025-01-01,2025,1,Janvier,T1,2025-01
2025-02-01,2025,2,Février,T1,2025-02
2025-03-01,2025,3,Mars,T1,2025-03
2025-04-01,2025,4,Avril,T2,2025-04
2025-05-01,2025,5,Mai,T2,2025-05
2025-06-01,2025,6,Juin,T2,2025-06
2025-07-01,2025,7,Juillet,T3,2025-07
2025-08-01,2025,8,Août,T3,2025-08
2025-09-01,2025,9,Septembre,T3,2025-09
2025-10-01,2025,10,Octobre,T4,2025-10
2025-11-01,2025,11,Novembre,T4,2025-11
2025-12-01,2025,12,Décembre,T4,2025-12
2026-01-01,2026,1,Janvier,T1,2026-01
2026-02-01,2026,2,Février,T1,2026-02
2026-03-01,2026,3,Mars,T1,2026-03
2026-04-01,2026,4,Avril,T2,2026-04
2026-05-01,2026,5,Mai,T2,2026-05
