division_code,division,poids,poids_frac
D01,Produits alimentaires et boissons non alcoolisées,421,0.421
D02,"Boissons alcoolisées, tabac et stupéfiants",9,0.009
D03,Habillement et chaussures,62,0.062
D04,"Logement, eau, électricité, gaz et autres combustibles",105,0.105
D05,"Meubles, articles de ménage et entretien courant",51,0.051
D06,Santé,42,0.042
D07,Transport,92,0.092
D08,Communication,35,0.035
D09,Loisirs et culture,21,0.021
D10,Enseignement,43,0.043
D11,Restaurants et hôtels,56,0.056
D12,Biens et services divers,63,0.063
