date,region,zone,division_code,division,ponderation,indice,var_mensuelle_pct,var_annuelle_pct,indice_ma3
2018-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,76.66,,,76.66
2018-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.09,0.5609183407252916,,76.875
2018-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.0,1.180438448566612,,77.25
2018-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,79.28,1.6410256410256396,,78.12333333333333
2018-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.62,1.690211907164474,,79.3
2018-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.33,0.8806747705284002,,80.41000000000001
2018-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.52,0.23361613180867824,,81.15666666666667
2018-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.04,-0.5888125613346284,,81.29666666666667
2018-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.04,-1.2339585389930852,,80.86666666666667
2018-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.95,-1.3618190904547745,,80.01
2018-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.82,-1.4312856238125504,,78.93666666666667
2018-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.2,-0.7967103572346312,,77.99
2019-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.46,0.33678756476682725,1.043569006000511,77.49333333333333
2019-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.99,0.6842241156726159,1.1674665974834575,77.55
2019-03-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.8,1.038594691627126,1.025641025641022,78.08333333333333
2019-04-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.045,1.5799492385786928,0.9649344096871904,78.94500000000001
2019-05-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.29,1.5553751015054074,0.831059290498648,80.045
2019-06-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.19,1.1071472505843172,1.0574203860813869,81.175
2019-07-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.82,0.766516607859824,1.5947006869479807,82.10000000000001
2019-08-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.06,-0.9176527408838342,1.2586377097729473,82.35666666666667
2019-09-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.31,-0.913965391177185,1.586706646676661,82.06333333333333
2019-10-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,79.84,-1.8078957077850233,1.1272957568081,81.07
2019-11-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.83,-1.2650300601202424,1.2978668722693376,79.99333333333333
2019-12-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.92,-1.1543828491690888,0.932642487046631,78.86333333333334
2020-01-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.83,1.167864476386038,1.7686547895688243,78.52666666666666
2020-02-01,Dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,79.52,0.8753012812380945,1.96178997307348,78.75666666666666
