date,region,cout_panier
2018-01-01,Dakar,104928.3
2018-01-01,Diourbel,98042.5
2018-01-01,Kaolack,98825.4
2018-01-01,Kolda,101638.1
2018-01-01,Saint-Louis,99431.8
2018-01-01,Thiès,100633.5
2018-02-01,Dakar,106532.8
2018-02-01,Diourbel,99492.9
2018-02-01,Kaolack,100173.7
2018-02-01,Kolda,102801.3
2018-02-01,Saint-Louis,100569.7
2018-02-01,Thiès,100980.3
2018-03-01,Dakar,107962.15
2018-03-01,Diourbel,100796.3
2018-03-01,Kaolack,101956.0
2018-03-01,Kolda,104479.3
2018-03-01,Saint-Louis,102415.8
2018-03-01,Thiès,103016.25
2018-04-01,Dakar,110557.3
2018-04-01,Diourbel,102830.0
2018-04-01,Kaolack,104357.3
2018-04-01,Kolda,107933.75
2018-04-01,Saint-Louis,104536.2
2018-04-01,Thiès,105707.9
2018-05-01,Dakar,112881.75
2018-05-01,Diourbel,104897.9
2018-05-01,Kaolack,105279.7
2018-05-01,Kolda,109326.7
2018-05-01,Saint-Louis,105836.4
2018-05-01,Thiès,107838.1
2018-06-01,Dakar,114370.2
2018-06-01,Diourbel,105959.6
2018-06-01,Kaolack,107924.2
2018-06-01,Kolda,109643.4
2018-06-01,Saint-Louis,107536.4
2018-06-01,Thiès,108808.6
2018-07-01,Dakar,114150.7
2018-07-01,Diourbel,106252.0
2018-07-01,Kaolack,106851.35
2018-07-01,Kolda,108977.0
2018-07-01,Saint-Louis,107540.5
2018-07-01,Thiès,108302.4
2018-08-01,Dakar,113076.9
2018-08-01,Diourbel,104363.2
2018-08-01,Kaolack,104853.0
2018-08-01,Kolda,107782.6
2018-08-01,Saint-Louis,105878.5
2018-08-01,Thiès,106587.75
2018-09-01,Dakar,110226.3
2018-09-01,Diourbel,103072.2
2018-09-01,Kaolack,104160.4
2018-09-01,Kolda,106709.6
2018-09-01,Saint-Louis,104250.2
2018-09-01,Thiès,106065.5
2018-10-01,Dakar,107216.7
2018-10-01,Diourbel,101158.1
2018-10-01,Kaolack,101806.3
2018-10-01,Kolda,104584.6
2018-10-01,Saint-Louis,102076.7
2018-10-01,Thiès,102502.0
2018-11-01,Dakar,106463.0
2018-11-01,Diourbel,98591.4
2018-11-01,Kaolack,99837.7
2018-11-01,Kolda,102327.2
2018-11-01,Saint-Louis,99998.5
2018-11-01,Thiès,101127.1
2018-12-01,Dakar,104853.0
2018-12-01,Diourbel,98490.6
2018-12-01,Kaolack,98771.9
2018-12-01,Kolda,101039.8
2018-12-01,Saint-Louis,98827.1
2018-12-01,Thiès,100544.2
2019-01-01,Dakar,104826.4
2019-01-01,Diourbel,98865.9
2019-01-01,Kaolack,99035.4
2019-01-01,Kolda,101837.4
2019-01-01,Saint-Louis,99715.6
2019-01-01,Thiès,101101.0
2019-02-01,Dakar,107091.5
2019-02-01,Diourbel,99440.1
2019-02-01,Kaolack,100893.6
2019-02-01,Kolda,104026.2
2019-02-01,Saint-Louis,100013.4
2019-02-01,Thiès,101730.9
2019-03-01,Dakar,108859.35
2019-03-01,Diourbel,101879.4
2019-03-01,Kaolack,102911.8
2019-03-01,Kolda,105262.15
2019-03-01,Saint-Louis,102233.4
2019-03-01,Thiès,104471.4
2019-04-01,Dakar,111640.40000000001
2019-04-01,Diourbel,104748.6
2019-04-01,Kaolack,105318.2
2019-04-01,Kolda,106856.9
2019-04-01,Saint-Louis,104948.3
2019-04-01,Thiès,106349.5
2019-05-01,Dakar,114024.5
2019-05-01,Diourbel,106246.2
2019-05-01,Kaolack,106976.6
2019-05-01,Kolda,110099.5
2019-05-01,Saint-Louis,107510.0
2019-05-01,Thiès,109280.9
2019-06-01,Dakar,114568.5
2019-06-01,Diourbel,106250.9
2019-06-01,Kaolack,107907.0
2019-06-01,Kolda,111317.7
2019-06-01,Saint-Louis,108308.7
2019-06-01,Thiès,109335.5
2019-07-01,Dakar,114407.0
2019-07-01,Diourbel,106713.9
2019-07-01,Kaolack,107405.1
2019-07-01,Kolda,110953.6
2019-07-01,Saint-Louis,108341.7
2019-07-01,Thiès,109248.7
2019-08-01,Dakar,113019.3
2019-08-01,Diourbel,105280.9
