date,region,zone,division_code,division,ponderation,indice
Janvier 2018,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,76.66
Février 2018,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.09
01/03/2018,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.0
2018-04-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,79.28
01/05/2018,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.62
01/06/2018,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.33
2018-07-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.52
2018-08-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.04
Septembre 2018,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.04
2018-10-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.95
2018-11-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.82
2018-12-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.2
2019-01-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.46
2019-02-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.99
2019-03-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.8
01/04/2019,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,
Mai 2019,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.29
Juin 2019,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.19
01/07/2019,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.82
Août 2019,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.06
01/09/2019,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.31
01/10/2019,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,79.84
2019-11-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.83
01/12/2019,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,77.92
2020-01-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,78.83
2020-02-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,79.52
2020-03-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.7
2020-04-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.42
Mai 2020,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,83.85
01/06/2020,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.91
Juillet 2020,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,85.25
01/08/2020,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.95
Septembre 2020,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.06
01/10/2020,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.5
Novembre 2020,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.13
Décembre 2020,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.23
2021-01-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,80.79
2021-02-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,81.37
01/03/2021,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.59
2021-04-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.41
Mai 2021,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,85.93
Juin 2021,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,87.29
2021-07-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,87.48
2021-08-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,86.97
2021-09-01,Dakar ,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,86.03
Octobre 2021,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,85.17
Novembre 2021,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,83.97
2021-12-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,82.92
Janvier 2022,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,84.78
2022-02-01,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,86.78
2022-03-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,88.86
01/04/2022,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,91.7
2022-05-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,94.73
2022-06-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,96.83
01/07/2022,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.15
Août 2022,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.62
01/09/2022,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.48
01/10/2022,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,98.01
2022-11-01,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,97.1
01/12/2022,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,
Janvier 2023,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,93.79
01/02/2023,dakar,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,95.22
Mars 2023,DAKAR,Ouest,D01,Produits alimentaires et boissons non alcoolisées,421,96.93
