date,region,produit,division_code,categorie,unite,prix_moyen
Janvier 2018,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,"313,3"
2018-02-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,313.9
01/03/2018,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,324.2
Avril 2018,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"326,5"
Mai 2018,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,344.2
Juin 2018,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,346.4
01/07/2018,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"351,4"
Août 2018,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"344,7"
2018-09-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,337.2
Octobre 2018,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,317.6
2018-11-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,322.5
Décembre 2018,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"312,8"
01/01/2019,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"316,7"
Février 2019,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,328.7
01/03/2019,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,324.9
Avril 2019,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,347.9
Mai 2019,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,356.9
Juin 2019,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,357.1
2019-07-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,"345,2"
01/08/2019,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,332.6
01/09/2019,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,347.5
2019-10-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,331.9
2019-11-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,318.5
2019-12-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,326.2
Janvier 2020,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,318.3
01/02/2020,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"326,5"
Mars 2020,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,"341,8"
Avril 2020,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,341.0
2020-05-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"357,5"
Juin 2020,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,372.5
2020-07-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,"366,7"
01/08/2020,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,369.3
Septembre 2020,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,359.9
2020-10-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,342.4
Novembre 2020,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,318.3
01/12/2020,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"321,6"
2021-01-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,336.8
Février 2021,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,326.9
2021-03-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,344.3
01/04/2021,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,359.8
01/05/2021,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,378.0
2021-06-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,369.4
01/07/2021,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,369.6
01/08/2021,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,369.8
2021-09-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,365.0
01/10/2021,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,352.2
2021-11-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"352,7"
01/12/2021,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,335.5
2022-01-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,351.0
Février 2022,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,363.7
Mars 2022,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,371.9
Avril 2022,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"397,9"
Mai 2022,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,408.2
2022-06-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,"424,9"
01/07/2022,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"424,6"
2022-08-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,425.3
2022-09-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"411,7"
01/10/2022,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,404.9
01/11/2022,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,413.8
2022-12-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,395.9
2023-01-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,382.7
01/02/2023,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,400.1
2023-03-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,391.4
2023-04-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,420.0
01/05/2023,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,446.6
2023-06-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,445.8
Juillet 2023,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,449.5
Août 2023,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,417.4
Septembre 2023,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,433.5
2023-10-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,431.0
01/11/2023,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,424.1
Décembre 2023,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,413.0
01/01/2024,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,399.9
2024-02-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,406.6
Mars 2024,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,407.4
2024-04-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,429.2
Mai 2024,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,431.2
2024-06-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,432.9
Juillet 2024,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,441.0
2024-08-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,459.7
Septembre 2024,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,436.2
01/10/2024,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,431.8
2024-11-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,418.1
Décembre 2024,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,393.3
Janvier 2025,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,414.0
Février 2025,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,395.9
01/03/2025,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,421.0
2025-04-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"438,9"
2025-05-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,454.2
2025-06-01,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,453.9
2025-07-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,445.8
2025-08-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,451.6
01/09/2025,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,445.2
Octobre 2025,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,436.8
01/11/2025,DAKAR,Riz brisé ordinaire,D01,Alimentaire,kg,"444,7"
2025-12-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,411.3
01/01/2026,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,410.8
2026-02-01,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,"419,3"
01/03/2026,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,"441,1"
Avril 2026,Dakar ,Riz brisé ordinaire,D01,Alimentaire,kg,444.5
2026-05-01,dakar,Riz brisé ordinaire,D01,Alimentaire,kg,464.9
Janvier 2018,Thiès ,Riz brisé ordinaire,D01,Alimentaire,kg,295.9
