date,cout_prevu,borne_basse,borne_haute
2026-06-01,140629.1182419654,139359.93559356523,141898.30089036556
2026-07-01,140541.29178867402,138490.48834510404,142592.095232244
2026-08-01,139692.55720849286,137027.8286595651,142357.2857574206
2026-09-01,136745.13412308588,133570.54206414416,139919.7261820276
2026-10-01,134611.96734304092,130995.71348336028,138228.22120272156
2026-11-01,132638.77158894393,128628.48551983963,136649.05765804823
2026-12-01,129674.65382053591,125305.55242387173,134043.7552172001
2027-01-01,128643.68851276398,123943.03848748122,133344.33853804675
2027-02-01,130750.21523506848,125739.89755571749,135760.53291441948
2027-03-01,134190.87203220697,128888.93986434885,139492.8042000651
2027-04-01,137506.62614508587,131928.30257690957,143084.94971326218
2027-05-01,140288.6973900498,134447.04480034535,146130.34997975428
